,Contract Name,Last Trade Date,Strike,Last Price,Bid,Ask,Change,% Change,Volume,Open Interest,Implied Volatility
35,T200619C00038000,2020-06-12 2:33PM EDT,38.0,0.02,0.0,0.05,0.0,-,3,5430,76.56%
36,T200619C00039000,2020-06-12 3:45PM EDT,39.0,0.02,0.01,0.02,0.01,+100.00%,8,7395,78.13%
37,T200619C00040000,2020-06-12 9:31AM EDT,40.0,0.01,0.0,0.01,0.0,-,1,25518,75.00%
38,T200619C00041000,2020-06-10 12:05PM EDT,41.0,0.01,0.0,0.09,0.0,-,20,10252,107.03%
39,T200619C00042000,2020-06-05 3:11PM EDT,42.0,0.01,0.0,0.01,0.0,-,4,7024,87.50%
40,T200619C00043000,2020-06-05 2:40PM EDT,43.0,0.01,0.0,0.05,0.0,-,65,2414,110.94%
41,T200619C00044000,2020-06-08 9:49AM EDT,44.0,0.01,0.0,0.05,0.0,-,10,1453,117.19%
42,T200619C00045000,2020-06-09 1:48PM EDT,45.0,0.01,0.0,0.01,0.0,-,5,4309,103.13%
43,T200619C00046000,2020-06-09 9:38AM EDT,46.0,0.02,0.0,0.01,0.0,-,850,1815,106.25%
44,T200619C00047000,2020-06-09 6:55PM EDT,47.0,0.01,0.0,0.03,0.0,-,1,447,126.56%
45,T200619C00048000,2020-05-19 12:40PM EDT,48.0,0.01,0.0,0.08,0.0,-,1,0,150.00%
46,T200619C00049000,2020-03-25 12:39PM EDT,49.0,0.01,0.0,0.03,0.0,-,18,738,137.50%
